suburb,branchCode,speedDial,region,phone1,phone2,fax,email,manager,managerPhone,supervisor,supervisorPhone,supervisor2,supervisor2Phone,daysHomeVisit,hoursOpen,saturdayHoursOpen,dom1,dom2,dom3,dom4
Abbotsbury,FA,*020222,Fairfield,9726 1131,,,,,,,,,,TUE/THU,7.30-4pm,,,,,
Abbotsford        ,FD,*020223,Five Dock,9712 1387,,,,,,,,,,MON/THU,8-5pm,,,,,
Aberglasslyn,2ES,TBA,East Maitland,4064 4515,,,,,,,,,,Mon-Thu,7-3pm,,,,,
Acacia Gardens,BK,*020013,Blacktown,9622 2608,,,,,,,,,,,7.30-3.30pm,,,,,
Adamstown,2LB,2704,Broadmeadow,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Agnes Banks       ,2RI,*020668,Richmond,4588 8707,,,,,,,,,,MON/THU,8-4pm,,,,,
Airds,CP,*020339,Campbelltown,4626 3483,,,,,,,,,,MON,7-6pm,,,,,
Akuna Bay,VM,*020412,Mona Vale (Gateway),9997 8051,,,,,,,,,,,8-4pm,,,,,
Alexandria,2MC,*020625,Mascot,8339 0622,,,,,,,,,,THU,7.30-3.30pm,,,,,
Alfords Point,MC,,Hurstville,9586 2411,,,,,,,,,,MO/WE/FR,8-4pm,,,,,
Allison,TG,,Tuggerah,4353 9668,,,,,,,,,,,8-4pm,,,,,
Allambie ,3MY,*020548,Manly,9977 5492,,,,,,,,,,WED/FRI,7.30-5pm,,,,,
Allambie Heights,3MY,*020548,Manly      ,9977 5492,,,,,,,,,,WED/FRI,7.30-5pm,,,,,
Allandale,2ES,TBA,East Maitland,4064 4515,,,,,,,,,,TUE,7-3pm,,,,,
Allawah,MC,,Hurstville,9586 2411,,,,,,,,,,TUE/THUR,8-4pm,,,,,
Ambervale,CP,*020339,Campbelltown,4626 3483,,,,,,,,,,MON/WED,7-6pm,,,,,
Angus,2RI,*020668,Richmond,4588 8707,,,,,,,,,,TUE/FRI,8-4pm,,,,,
Anna Bay,NQ,*020459,Nelson Bay,4984 1004,,,,,,,,,,,8-4pm,,,,,
Annandale,FD,*020223,Five Dock          ,9712 1387,,,,,,,,,,MON/THU,8-5pm,,,,,
Annangrove,2YD,*020846,Dural,8650 1377,,,,,,,,,,FRI,8-4pm,,,,,
Appin,CP,*020339,Campbelltown,4626 3483,,,,,,,,,,WED,7-6pm,,,,,
Arcadia    ,2YD,*020846,Dural,8650 1377,,,,,,,,,,WED,8-4pm,,,,,
Arcadia Vale,TT,*020284,Toronto            ,4959 6599,,,,,,,,,,,7.30-6pm,,,,,
Argenton,2LB,2704,Broadmeadow        ,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Arncliffe   ,FD,*020223,Five Dock,9712 1387,,,,,,,,,,TUE/FRI,8-5pm,,,,,
Arndell Park,BK,*020013,Blacktown,9622 2608,,,,,,,,,,WED,7.30-3.30pm,,,,,
Artarmon,NB,*020042,Northbridge        ,9958 4724,,,,,,,,,,MON-FRI,8-4pm,,,,,
Ashbury,FD,*020223,Five Dock          ,9712 1387,,,,,,,,,,TUE ,8-5pm,,,,,
Ashcroft,2XJ,*020722,Casula      ,8650 1336,,,,,,,,,,WED/FRI,7-5.30pm,,,,,
Ashfield         ,FD,*020223,Five Dock        ,9712 1387,,,,,,,,,,TUE/FRI,8-5pm,,,,,
Ashtonfield,2ES,TBA,East Maitland,4064 4515,,,,,,,,,,,7-3pm,,,,,
Asquith,AS,*020139,Asquith            ,9476 5975,,,,,,,,,,,8-4pm,,,,,
Auburn,FA,*020222,Fairfield       ,9726 1131,,,,,,,,,,TUE/THU,7.30-4pm,,,,,
Austral,2XJ,*020722,Casula,8650 1336,,,,,,,,,,TUE/THU,7am-5.30pm,,,,,
Avalon,VM,*020412,Mona Vale (Gateway),9997 8051,,,,,,,,,,TUE,8-4pm,,,,,
Avoca Beach,2UA,,Umina Beach,8650 1575,,,,,,,,,,,7.30-4.30pm,,,,,
Awaba,TT,*020284,Toronto           ,4959 6599,,,,,,,,,,,7.30-6pm,,,,,
Badgerys Creek,CM,*020335,Camden,4655 9688,,,,,,,,,,TUE,7.30-5pm,,,,,
Balaclava,2IB,*020879,Bowral          ,8650 1352,,,,,,,,,,,8-4pm,,,,,
Balcolyn,TT,*020284,Toronto          ,4959 6599,,,,,,,,,,,7.30-6pm,,,,,
